Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
DOD,DBD,DOD,DOD,PJM ATSI Zone 5 MW Off-Peak Calendar-Day Day-Ahead Futures,Energy,Electricity,PJM,Daily Off-Peak,Futures,NYMEX,0,0
DOR,DAO,DOR,DOR,PJM ATSI Zone 5 MW Off-Peak Calendar-Day Real-Time Futures,Energy,Electricity,PJM,Daily Off-Peak,Futures,NYMEX,0,0
DPD,DPA,DPD,DPD,PJM ATSI Zone 5 MW Peak Calendar-Day Day-Ahead Futures,Energy,Electricity,PJM,Daily Peak,Futures,NYMEX,0,0
DPR,DRA,DPR,DPR,PJM ATSI Zone 5 MW Peak Calendar-Day Real-Time Futures,Energy,Electricity,PJM,Daily Peak,Futures,NYMEX,0,0
MOR,MOA,MOR,MOR,PJM ATSI Zone 5 MW Off-Peak Calendar-Month Real-Time Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,0
MPR,MPA,MPR,MPR,PJM ATSI Zone 5 MW Peak Calendar-Month Real-Time Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,0
ACL,-,ACL,ACL,Australian Coking Coal (Platts) Futures,Metals,Coking Coal,-,-,Futures,NYMEX,0,0
ERE,EAC,ERE,ERE,ERCOT North 345 kV Hub Day-Ahead 5 MW Peak Futures,Energy,Electricity,ERCOT,Monthly Peak,Futures,NYMEX,0,0
K9,TK9,K9,K9,"Texas Eastern, ELA Natural Gas (Platts Gas Daily) Swing Futures",Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
EWB,EWB,EWB,EWB,East-West Fuel Oil Spread (Platts) BALMO Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
EWG,EWG,EWG,EWG,East-West Gasoline Spread (Platts-Argus) Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
JA5,JA5,JA5,JA5,Japan C&F Naphtha (Platts) Average Price Option,Energy,Refined Products,Asian,Outrights,Options,NYMEX,0,0
1N5,1N5,1N5,1N5,Singapore Mogas 92 Unleaded (Platts) Average Price Option,Energy,Refined Products,Asian,Outrights,Options,NYMEX,0,0
US3,ZB3,US3,-,U.S. Treasury Bond Weekly Options Wk 3,Interest Rate,US Treasury,-,-,Options,CBT,0,0
DPO,DPO,DPO,DPO,DME Oman Crude Oil vs. Dubai (Platts) Swap Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,0,0
BSG,BSG,BSG,BSG,ICE Brent (Singapore Marker) vs. DME Oman Crude Oil Swap Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,0,0
9G,9G,9G,9G,In Delivery Month European Union Allowance (EUA) Serial Options,Energy,Emissions,-,EU ETS,Options,NYMEX,0,0
PNP,PNL,-,PNP,PJM Northern Illinois Hub Day-Ahead Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Peak,Futures,NYMEX,0,0
2X,-,2X,2X,ERCOT North 345 kV Hub 50 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,0
SGW,SGW,SGW,SGW,SoCal Gas City-Gate Natural Gas (Platts IFERC) Fixed Price Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,0,0
MX,MX,MX,MX,Mars (Argus) Financial Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,0
58,A58,58,58,NYISO Zone E 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,Energy,Electricity,NYISO,Monthly Off-Peak,Futures,NYMEX,0,0
GN,GNL,GN,GN,NYISO Zone G Day-Ahead Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,NYISO,Daily Peak,Futures,NYMEX,0,0
PWO,PWL,-,PWO,PJM Western Hub  Day-Ahead Off-Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Off-Peak,Futures,NYMEX,0,0
NCL,NCL,NCL,NCL,Coal (API 6) fob Newcastle (ARGUS-McCloskey) Futures,Energy,Coal,-,-,Futures,NYMEX,0,0
GFN,GFN,GFN,GFN,Gasoil 50 ppm Barges FOB Rdam (Platts) vs. Gasoil 0.1% Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,0
ENF,ENF,ENF,ENF,European Diesel 10 ppm Barges FOB Rdam (Platts) vs. Gasoil 50 ppm Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,0
6M,A6M,6M,6M,Central Appalachian Coal Calendar Strip Options,Energy,Coal,-,-,Options,NYMEX,0,0
C4D,C4D,C4D,C4D,Daily Mont Belvieu Normal Butane (Non-LDH) (OPIS) Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,0
7S,7S,7S,7S,EuroBob Gasoline 10 ppm Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
YH,AYH,YH,YH,NY Heating Oil (Platts) vs. NY Harbor ULSD Heating Oil Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,0
M6,MSX,M6,M6,"ANR, Louisiana Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures",Energy,Natural Gas,-,Index,Futures,NYMEX,0,0
NYS,NYS,NYS,8N,NY 0.7% Fuel Oil (Platts) BALMO Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
9V,9AV,9V,9V,NYISO Zone J Day-Ahead Peak Calendar-Month 5 MW Options,Energy,Electricity,NYISO,Monthly Peak,Options,NYMEX,0,0
3D,-,3D,3D,ERCOT West 345 kV Hub 50 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,0
3Z,-,3Z,3Z,CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Day Day-Ahead LMP Futures,Energy,Electricity,Western Power,Daily Peak,Futures,NYMEX,0,0
GCU,GCU,GCU,GCU,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Energy,Refined Products,Arb,Spreads,Futures,NYMEX,0,0
NYF,NYF,NYF,NYF,NY Fuel Oil 1.0% (Platts) vs. European 1% Fuel Oil Cargoes FOB NWE (Platts) Futures,Energy,Refined Products,Arb,Spreads,Futures,NYMEX,0,0
FBD,FBD,FBD,FBD,FAME 0 Biodiesel FOB Rdam (Argus) (RED Compliant) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
WCI,WCI,WCI,WCI,Canadian Heavy Crude Oil Index (Net Energy) Average Price Option,Energy,Crude Oil,-,Spreads,Options,NYMEX,0,0
GSI,GSI,GSI,GSI,Biodiesel SME Houston B-100 (Argus) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
NBZ,NBZ,-,NBZ,Brent 25-Day Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,0
4U,-,4U,4U,Gulf Coast Heating Oil (Argus) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
RBR,-,RBR,RBR,Chinese Steel Rebar HRB400 (Mysteel) Futures,Metals,Ferrous,-,-,Futures,NYMEX,0,0
GB,-,GB,-,Cleared OTC London Gold Forwards (cash margin),Metals,Precious,-,-,Futures,NYMEX,0,0
PPW,PPW,PPW,PPW,PP Polypropylene (PCW) BALMO Futures,Energy,Petrochemicals,Olefin,Financial,Futures,NYMEX,0,0
XAY,XAY,XAY,-,E-mini Consumer Discretionary Sector Futures,Equities,Select Sector Index,-,-,Futures,CME,0,0
FLY,FLY,-,FLY,European Union Aviation Allowance (EUAA) Futures,Energy,Emissions,-,EU ETS,Futures,NYMEX,0,0
ZAO,ZAL,-,ZAO,NYISO Zone A Day-Ahead Off-Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Off-Peak,Futures,NYMEX,0,0
U21,U21,U21,U21,Natural Gas Short-Term Options D21,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
DCL,DCL,DCL,DCL,Daily WTI Financial Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,0
AOR,AOL,-,AOR,PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Off-Peak,Futures,NYMEX,0,0
REU,REU,REU,REU,Emission Reduction Unit (ERU) Futures,Energy,Emissions,-,JI,Futures,NYMEX,0,0
ERO,ERO,ERO,ERO,Emission Reduction Unit (ERU) Options,Energy,Emissions,-,JI,Options,NYMEX,0,0
WCE,WCE,WCE,WCE,Western Canadian Select (WCS) Crude Oil Futures,Energy,Crude Oil,-,Physical,Futures,NYMEX,0,0
XB,AXB,XB,XB,WTI Midland (Argus) Financial Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,0
MD,AMD,MD,MD,Gulf Coast Unl 87 (Platts) vs. Gulf Coast Heating Oil (Platts) Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,0
L03,L03,L03,-,Gold Short-Term Options D03,Metals,Precious,-,-,Options,COMEX,0,0
