Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
ED,GE,ED,-,Eurodollar Futures,Interest Rate,Stirs,-,-,Futures,CME,1516923,9086935
LNE,LNE,LN,LN,Natural Gas European Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,133376,5324015
ED,GE,CE / PE,-,Eurodollar Options,Interest Rate,Stirs,-,-,Options,CME,79366,4276783
ES,ES,ES,-,E-mini S&P 500 Futures,Equities,US Index,-,-,Futures,CME,1629974,2954066
LO,LO,LO,LO,Crude Oil Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,103438,2911934
NN,NN,NN,NN,Henry Hub Swap Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,112795,2697970
E3,GE3,E3,-,Eurodollar 3yr MC Options,Interest Rate,Stirs,-,-,Options,CME,47966,2321158
ES,ES,ES,-,E-mini S&P 500 Options,Equities,US Index,-,-,Options,CME,138862,2298618
21,ZN,TY,-,10 Yr Note Futures,Interest Rate,US Treasury,-,-,Futures,CBT,1119551,2198221
E2,GE2,E2,-,Eurodollar 2yr MC Options,Interest Rate,Stirs,-,-,Options,CME,23838,2046390
25,ZF,FV,-,5 Yr Note Futures,Interest Rate,US Treasury,-,-,Futures,CBT,606878,1836993
CL,CL,CL,CL,Crude Oil Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,385611,1719767
21,OZN,TC / TP,-,10 Yr Note Options,Interest Rate,US Treasury,-,-,Options,CBT,125415,1671674
C,OZC,CY / PY,-,Corn Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,166788,1506594
NG,NG,NG,NG,Natural Gas (Henry Hub) Physical Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,465721,1440532
C,ZC,C,-,Corn Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,655122,1363425
OG,OG,OG,OG,Gold Options,Metals,Precious,-,-,Options,COMEX,30662,1320849
N9,N9L,N9,N9,PJM Western Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,46800,1280747
E0,GE0,E0,-,Eurodollar 1yr MC Options,Interest Rate,Stirs,-,-,Options,CME,20533,1196025
NP,NPG,NP,NP,Henry Hub Penultimate NP Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,35214,983016
25,OZF,FL / FP,-,5 Yr Note Options,Interest Rate,US Treasury,-,-,Options,CBT,13560,940580
26,ZT,TU,-,2 Yr Note Futures,Interest Rate,US Treasury,-,-,Futures,CBT,174608,926131
B6,B6L,B6,B6,PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,924948
AO,AAO,AO,AO,WTI Average Price Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,5979,872025
L3,L3L,L3,L3,PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,782956
S,OZS,CZ / PZ,-,Soybean Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,96082,776108
E4,E4L,E4,E4,PJM Western Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,767350
E4,GE4,E4,-,Eurodollar 4yr MC Options,Interest Rate,Stirs,-,-,Options,CME,32700,688897
17,ZB,US,-,U.S. Treasury Bond Futures,Interest Rate,US Treasury,-,-,Futures,CBT,343841,626280
V3,V3L,V3,V3,PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,46800,619974
S,ZS,S,-,Soybean Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,310890,567153
H2,H2L,H2,H2,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,ISO-NE,Monthly Off-Peak,Futures,NYMEX,0,483619
W,ZW,W,-,Wheat Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,193109,444411
17,OZB,CG / PG,-,U.S. Treasury Bond Options,Interest Rate,US Treasury,-,-,Options,CBT,36261,417247
W,OZW,WY / WZ,-,Wheat Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,49765,416008
GC,GC,GC,GC,Gold Futures,Metals,Precious,-,-,Futures,COMEX,134261,409956
SP,SP,CS / PS,-,S&P 500 Options,Equities,US Index,-,-,Options,CME,32863,398761
41,ZQ,FF,-,30 Day Federal Funds Futures,Interest Rate,Stirs,-,-,Futures,CBT,12781,377428
UBE,UB,UL,-,Ultra U.S. Treasury Bond Futures,Interest Rate,US Treasury,-,-,Futures,CBT,68283,371801
NQ,NQ,NQ,-,E-Mini NASDAQ 100 Futures,Equities,US Index,-,-,Futures,CME,145546,361199
R7,R7L,R7,R7,PJM AEP Dayton Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,360595
O1,AO1,O1,O1,ERCOT West 345 kV Hub 5 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,342480
WAY,WAY,WA,WA,WTI Crude Oil 1 Month Calendar Spread Options,Energy,Crude Oil,-,Spreads,Options,NYMEX,353,334033
7,ZL,BO,-,Soybean Oil Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,139522,331309
48,LE,LC,-,Live Cattle Futures,Agriculture,Livestock,-,-,Futures,CME,96616,330341
RB,RB,RB,RB,RBOB Gasoline Physical Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,145043,317975
W6,AW6,W6,W6,PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,305014
H4,EJL,H4,H4,MISO Indiana Hub (formerly Cinergy Hub) Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,MISO,Monthly Off-Peak,Futures,NYMEX,0,304608
HH,HH,HH,HH,Natural Gas (Henry Hub) Last-day Financial Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,20508,303725
HO,HO,HO,HO,Heating Oil Physical Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,112050,285062
48,LE,CK / PK,-,Live Cattle Options,Agriculture,Livestock,-,-,Options,CME,25733,277380
BA,BA,BA,BA,Brent Crude Oil Average Price Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,4050,273959
6,ZM,SM,-,Soybean Meal Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,114748,265947
D2,D2L,D2,D2,NYISO Zone G Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,NYISO,Monthly Off-Peak,Futures,NYMEX,0,261329
X1,AX1,X1,X1,PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,253759
EC,6E,EC,EC,Euro FX Option (American),FX,G10,-,-,Options,CME,19467,251503
LN,HE,LH,-,Lean Hog Futures,Agriculture,Livestock,-,-,Futures,CME,48535,234622
EC,6E,EC,EC,Euro FX Futures,FX,G10,-,-,Futures,CME,270938,224370
J1,6J,JY,-,Japanese Yen Futures,FX,G10,-,-,Futures,CME,123624,217971
BP,6B,BP,BP,British Pound Futures,FX,G10,-,-,Futures,CME,105861,207784
26,OZT,TUC / TUP,-,2 Yr Note Options,Interest Rate,US Treasury,-,-,Options,CBT,3526,196349
AD,6A,AD,AD,Australian Dollar Futures,FX,G10,-,-,Futures,CME,92404,194940
7A,B7A,7A,7A,Light Sweet Crude Oil (WTI) Financial 1 Month Spread Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,1200,184330
D9,AD9,D9,D9,PJM ComEd Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,183939
SO,SO,SO,SO,Silver Options,Metals,Precious,-,-,Options,COMEX,5476,182828
HG,HG,HG,HG,Copper Futures,Metals,Base,-,-,Futures,COMEX,65196,180030
CS,CSX,CS,CS,WTI Financial Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,3433,179222
MP,6M,MP,-,Mexican Peso Futures,FX,Emerging Market,-,-,Futures,CME,19872,177831
ON,ON,ON,ON,Natural Gas Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,16953,175987
C1,6C,CD,-,Canadian Dollar Futures,FX,G10,-,-,Futures,CME,61833,163289
P8,AP8,P8,P8,ISO New England North East Massachusetts Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Off-Peak,Futures,NYMEX,0,162141
SP,SP,SP,-,S&P 500 Futures,Equities,US Index,-,-,Futures,CME,13594,160198
J1,6J,CJ / PJ,-,Japanese Yen Option (American),FX,G10,-,-,Options,CME,5073,156400
SI,SI,SI,SI,Silver Futures,Metals,Precious,-,-,Futures,COMEX,43845,154685
K2,K2L,K2,K2,MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,MISO,Monthly Off-Peak,Futures,NYMEX,0,153360
FTM,FTQ,FTM,FTM,MISO Indiana Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,MISO,Monthly Off-Peak,Futures,NYMEX,0,151044
F5,AF5,F5,F5,PJM PPL Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,148833
LN,HE,CH / PH,-,Lean Hog Options,Agriculture,Livestock,-,-,Options,CME,7354,144859
K4,K4L,K4,K4,NYISO Zone A Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,NYISO,Monthly Off-Peak,Futures,NYMEX,0,141641
G4,G4X,G4,G4,Natural Gas (Henry Hub) Last-day Financial 1 Month Spread Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,2241,140739
7,OZL,OY / OZ,-,Soybean Oil Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,6506,137269
LCE,LCE,LCE,LC,Light Sweet Crude Oil European Financial Option,Energy,Crude Oil,-,Outrights,Options,NYMEX,250,134666
I6,AI6,I6,I6,ERCOT North 345 kV Hub 5 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,128808
6,OZM,MY / MZ,-,Soybean Meal Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,7057,124109
ME,EMD,ME,-,E-mini S&P MidCap 400 Futures,Equities,US Index,-,-,Futures,CME,13303,121814
6T,EAF,6T,6T,In Delivery Month European Union Allowance (EUA) Futures,Energy,Emissions,-,EU ETS,Futures,NYMEX,4064,116152
YM,YM,YM,-,$5 Mini Dow Futures,Equities,US Index,-,-,Futures,CBT,121056,114175
EW1,EW1,EW1,-,E-mini S&P 500 Weekly Options Wk 1,Equities,US Index,-,-,Options,CME,71287,112889
BV,ABV,BV,BV,WTI-Brent Crude Oil Spread Options,Energy,Crude Oil,-,Spreads,Options,NYMEX,2950,100558
D4,D4L,D4,D4,NYISO Zone J Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,NYISO,Monthly Off-Peak,Futures,NYMEX,0,92872
OFM,OFF,OFM,OFM,Ontario Off-Peak Calendar-Month Futures,Energy,Electricity,Canadian,Monthly Off-Peak,Futures,NYMEX,0,91280
L9,AL9,L9,L9,ISO New England West Central Massachusetts Zone 5 MW Off-Peak Calendar-Month Day Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Off-Peak,Futures,NYMEX,0,90862
4P,A4P,4P,4P,PJM PECO Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,88848
AT,ATX,AT,AT,Heating Oil Average Price Options,Energy,Refined Products,-,Outrights,Options,NYMEX,611,88110
AD,6A,KA / JA,AD,Australian Dollar Option (American),FX,G10,-,-,Options,CME,2695,79428
CDF,OCD,CDF,-,New Crop Corn Short Dated Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,5074,78325
BP,6B,CP / PP,BP,British Pound Option (American),FX,G10,-,-,Options,CME,3081,77721
N1,NIY,N1,-,Nikkei/Yen Futures,Equities,International Index,-,-,Futures,CME,23823,71921
46,A46,46,46,PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,71491
WS,WS,WS,WS,Crude Oil Bullet Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,1525,70916
ZN,AZN,ZN,ZN,"SoCal Natural Gas (Platts IFERC) ""Pipe"" Option",Energy,Natural Gas,-,Outrights,Options,NYMEX,0,69800
NK,NKD,NK,-,Nikkei/USD Futures,Equities,International Index,-,-,Futures,CME,9577,68649
DA,DC,DA,-,Class III Milk Options,Agriculture,Dairy,-,-,Options,CME,377,68476
PL,PL,PL,PL,Platinum Futures,Metals,Precious,-,-,Futures,NYMEX,13760,63607
OH,OH,OH,OH,Heating Oil Physical Options,Energy,Refined Products,-,Outrights,Options,NYMEX,1671,63407
BK,BK,BK,BK,WTI-Brent Financial Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,675,63071
C1,6C,CV / PV,-,Canadian Dollar Option (American),FX,G10,-,-,Options,CME,3301,57522
LT,LT,LT,LT,Gulf Coast ULSD (Platts) Up-Down Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,2050,57500
RU,6R,RU,RU,Russian Ruble Futures,FX,Emerging Market,-,-,Futures,CME,651,57499
J4,J4L,J4,J4,PJM Western Hub Day-Ahead Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,57413
4R,A4R,4R,4R,MISO Illinois Hub 5 MW Off-Peak Calendar-Month Day-Ahead Futures,Energy,Electricity,MISO,Monthly Off-Peak,Futures,NYMEX,0,54544
MTF,MTF,MTF,MTF,Coal (API2) CIF ARA (ARGUS-McCloskey) Futures,Energy,Coal,-,-,Futures,NYMEX,3800,53674
OB,OB,OB,OB,RBOB Gasoline Physical Options,Energy,Refined Products,-,Outrights,Options,NYMEX,823,52957
L1,AL1,L1,L1,PJM Western Hub Peak Calendar-Month Real-Time LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,52855
A3,AA3,A3,A3,NYISO Zone C 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,Energy,Electricity,NYISO,Monthly Off-Peak,Futures,NYMEX,0,52656
JM,JML,JM,JM,PJM Western Hub Real-Time Peak Calendar-Month 2.5 MW Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,52611
E1,6S,SF,-,Swiss Franc Futures,FX,G10,-,-,Futures,CME,28745,52279
BB,BB,BB,BB,Brent Crude Oil Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,246,52157
BZ,BZ,BZ,BZ,Brent Crude Oil Last Day Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,11440,50219
CY,CY,CY,CY,Brent Financial Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,1539,50075
R3,AR3,R3,R3,PJM BGE Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,48434
OS,OSX,OS,OS,Brent Crude Oil Last Day Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,6025,48052
N3,N3L,N3,N3,PJM Northern Illinois Hub Day-Ahead LMP Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,46504
MF,MFB,MF,MF,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,4244,46461
E8,AE8,E8,E8,PJM DPL Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,46088
G3,G3B,G3,G3,Natural Gas (Henry Hub) Last-day Financial 3 Month Spread Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,5100,44797
ME,ME,ME,ME,Gulf Coast Jet (Platts) Up-Down Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,7535,44677
FO,FO,FO,FO,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,324,43187
EW,EW,EW,-,E-mini S&P 500 EOM Options,Equities,US Index,-,-,Options,CME,48087,42587
BR,6L,BR,BR,Brazilian Real Futures,FX,Emerging Market,-,-,Futures,CME,1076,42109
62,GF,FC,-,Feeder Cattle Futures,Agriculture,Livestock,-,-,Futures,CME,9583,41606
PA,PA,PA,PA,Palladium Futures,Metals,Precious,-,-,Futures,NYMEX,5085,39243
TY1,ZN1,TY1,-,10 Yr Note Weekly Options Wk 1,Interest Rate,US Treasury,-,-,Options,CBT,10822,38822
7K,T7K,7K,7K,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,478,37561
IN,IN,IN,IN,Henry Hub Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,37248
NQ,NQ,NQ,-,E-Mini NASDAQ 100 Options,Equities,US Index,-,-,Options,CME,1306,36583
NE,6N,NE,NE,New Zealand Dollar Futures,FX,G10,-,-,Futures,CME,9104,36389
P5,AP5,P5,P5,ISO New England South East Massachusetts Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Off-Peak,Futures,NYMEX,0,36152
PH,PH,PH,PH,Panhandle Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,35855
GCB,GCB,GCB,GCB,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,1724,34694
B3,AB3,B3,B3,PJM Northern Illinois Hub 5 MW Peak Calendar-Month Real-Time LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,34594
4M,A4M,4M,4M,NYISO Zone F 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,Energy,Electricity,NYISO,Monthly Off-Peak,Futures,NYMEX,0,34464
BE,BE,BE,BE,Brent Crude Oil European Financial Option,Energy,Crude Oil,-,Outrights,Options,NYMEX,200,32882
CU,CU,CU,CU,Chicago Ethanol (Platts) Futures,Energy,Ethanol,North American,Outrights,Futures,NYMEX,3070,32505
U6,AU6,U6,U6,ISO New England Mass Hub 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Peak,Futures,NYMEX,0,30515
B0,B0,B0,B0,Mont Belvieu LDH Propane (OPIS) Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,85,29543
GA,AGA,GA,GA,Singapore Gasoil (Platts) vs. Gasoil Futures,Energy,Refined Products,Arb,Spreads,Futures,NYMEX,300,29440
NR,NR,NR,NR,Rockies Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,28376
E5,GE5,E5,-,Eurodollar 5yr MC Options,Interest Rate,Stirs,-,-,Options,CME,80,27867
Q8,AQ8,Q8,Q8,PJM PEPCO Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,27849
WJ,AWJ,WJ,WJ,LLS (Argus) vs. WTI Financial Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,400,27155
6J,A6J,6J,6J,Natural Gas Calendar Strip Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,26571
62,GF,JP,-,SxS Feeder Cattle Options,Agriculture,Livestock,-,-,Options,CME,1426,26252
NL,NL,NL,NL,NGPL Mid-Con Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,26099
PO,PO,PO,PO,Platinum Option,Metals,Precious,-,-,Options,NYMEX,300,25888
GA,GIE,GA,-,Goldman Sachs - Excess Return Futures,Agriculture,Commodity Index,-,-,Futures,CME,0,25873
T3,T3L,T3,T3,NYISO Zone G Day-Ahead Peak Calendar-Month 5 MW Futures,Energy,Electricity,NYISO,Monthly Peak,Futures,NYMEX,0,25870
CC6,CZ6,CC6,-,Corn July-Dec CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,541,25317
MP,MPX,MP,MP,Heating Oil Financial Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,373,24868
D7,D7L,D7,D7,PJM AEP Dayton Hub Day-Ahead LMP Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,110,24046
PAO,PAO,PAO,PAO,Palladium Options,Metals,Precious,-,-,Options,NYMEX,2000,23880
DA,DC,DA,-,Class III Milk Futures,Agriculture,Dairy,-,-,Futures,CME,975,23766
PD,PD,PD,PD,NGPL TexOk Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,23426
FDM,FQK,FDM,FDM,MISO Indiana Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,MISO,Monthly Off-Peak,Futures,NYMEX,0,23400
RBB,RBB,RBB,RBB,RBOB Gasoline Brent Crack Spread Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,450,23339
WCC,WCC,WCC,WCC,Canadian Heavy Crude Oil Index (Net Energy) Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,780,22277
GVR,GVR,GVR,GVR,Gulf Coast Jet Fuel (Platts) Average Price Options,Energy,Refined Products,-,Outrights,Options,NYMEX,0,22251
HB,HB,-,HB,Henry Hub Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,22002
ZR,AZR,ZR,ZR,"Rockies Natural Gas (Platts IFERC) ""Pipe"" Option",Energy,Natural Gas,-,Outrights,Options,NYMEX,0,21087
MM,MM,MM,MM,New York Harbor Residual Fuel 1.0% (Platts) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,1013,20411
Z9,AZ9,Z9,Z9,PJM AEP Dayton Hub 5MW Peak Calendar-Month Real-Time LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,110,20042
EW2,EW2,EW2,-,E-mini S&P 500 Weekly Options Wk 2,Equities,US Index,-,-,Options,CME,6992,19824
U3,AU3,U3,U3,ISO New England New Hampshire Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Off-Peak,Futures,NYMEX,0,19680
PU,APU,PU,PU,"Panhandle Natural Gas (Platts IFERC) ""Pipe"" Option",Energy,Natural Gas,-,Outrights,Options,NYMEX,0,19260
QP,QP,QP,QP,Western Rail Delivery CSX Coal Futures,Energy,Coal,-,-,Futures,NYMEX,60,19105
HP,HP,HP,HP,Natural Gas (Henry Hub) Penultimate Financial Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,217,19101
K3,K3L,K3,K3,NYISO Zone A Day-Ahead Peak Calendar-Month 5 MW Futures,Energy,Electricity,NYISO,Monthly Peak,Futures,NYMEX,2558,19080
MFF,MFF,MFF,MFF,Coal (API4) FOB Richards Bay (ARGUS-McCloskey) Futures,Energy,Coal,-,-,Futures,NYMEX,1560,19077
GZ,GZ,GZ,GZ,European Gasoil Brent Crack Spread Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,99,19057
RV,RV,RV,RV,Gulf Coast Unl 87 Gasoline M1 (Platts) vs. RBOB Gasoline Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,300,19014
LY,ALY,LY,LY,Gulf Coast ULSD (Platts) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,18677
GY,GY,GY,GY,Gulf Coast ULSD (Platts) Crack Spread Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,0,18595
RA,RA,RA,RA,RBOB Gasoline Average Price Options,Energy,Refined Products,-,-,Options,NYMEX,24,18543
JP,AJP,JP,JP,PJM Off-Peak Calendar-Month LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,60,17580
N1U,N1U,N1U,-,10 Year USD Deliverable Interest Rate Swap Futures,Interest Rate,Deliverable Swaps,-,-,Futures,CBT,660,17569
D3,D3L,D3,D3,NYISO Zone J Day-Ahead Peak Calendar-Month 5 MW Futures,Energy,Electricity,NYISO,Monthly Peak,Futures,NYMEX,0,17487
GL,GL,GL,GL,"Columbia Gulf, Louisiana Natural Gas (Platts IFERC) Basis Futures",Energy,Natural Gas,-,Basis,Futures,NYMEX,0,16979
L6,AL6,L6,L6,PJM PSEG Zone Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,16815
E5,AE5,E5,E5,Argus LLS vs. WTI (Argus) Trade Month Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,2368,16477
PYC,CZC,PYC,-,Consecutive Corn CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,1875,16174
US1,ZB1,US1,-,U.S. Treasury Bond Weekly Options Wk 1,Interest Rate,US Treasury,-,-,Options,CBT,6953,16054
JO,AJO,JO,JO,PJM Calendar-Month LMP Option,Energy,Electricity,PJM,Monthly Peak,Options,NYMEX,0,15948
PG,PGN,PG,PG,"Dominion, South Point Natural Gas (Platts IFERC) Basis Futures",Energy,Natural Gas,-,Basis,Futures,NYMEX,0,15730
N1,AN1,N1,N1,ERCOT West 345 kV Hub 5 MW Peak Futures,Energy,Electricity,ERCOT,Monthly Peak,Futures,NYMEX,0,15459
N2,AN2,N2,N2,Singapore Jet Kerosene (Platts) Average Price Options,Energy,Refined Products,Asian,Outrights,Options,NYMEX,0,15085
6O,A6O,6O,6O,PJM Electricity Option on Calendar Futures Strip Options,Energy,Electricity,PJM,Monthly Peak,Options,NYMEX,0,15040
NE,NEN,NE,NE,"ANR, Oklahoma Natural Gas (Platts IFERC) Basis Futures",Energy,Natural Gas,-,Basis,Futures,NYMEX,0,15015
RL,RLX,RL,RL,RBOB Gasoline Financial Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,265,14928
YM,OYM,YM,-,$5 Mini Dow Options,Equities,US Index,-,-,Options,CBT,318,14832
14,ZR,RR,-,Rough Rice Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,1771,14786
RA,6Z,RA,RA,South African Rand Futures,FX,Emerging Market,-,-,Futures,CME,1378,14622
W2,AW2,W2,W2,ISO New England Maine Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Off-Peak,Futures,NYMEX,0,14559
NH,NHN,NHN,NH,Houston Ship Channel Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,368,14553
EN,EN,EN,EN,European Naphtha (Platts) Crack Spread Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,490,14485
41,OZQ,FFC / FFP,-,30 Day Federal Funds Options,Interest Rate,Stirs,-,-,Options,CBT,0,14283
RK,RKA,RK,RK,Singapore Jet Kerosene (Platts) vs. Gasoil (Platts) Futures,Energy,Refined Products,Asian,Spreads,Futures,NYMEX,150,14129
